City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
259,Mangan,IN,52.99,clear sky,27.5167,88.5333,Hotel Mout View
262,Alcantara,BR,84.2,scattered clouds,-2.4089,-44.4147,Pousada da Josefa
263,Guerrero Negro,MX,76.51,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
265,Bubaque,GW,77.4,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
267,Cabedelo,BR,82.4,broken clouds,-6.9811,-34.8339,Hotel Pigalle
272,Tarauaca,BR,83.77,broken clouds,-8.1614,-70.7656,Flat Temporada
273,Dingle,PH,75.52,heavy intensity rain,10.9995,122.6711,SEGAYA PROPERTY
274,Horta,PT,59.0,scattered clouds,38.5333,-28.6333,Hotel do Canal | Horta - Faial
276,Le Vauclin,MQ,73.99,broken clouds,14.5452,-60.8388,Hôtel Cap Macabou
278,Half Moon Bay,US,66.0,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
282,Babaeski,TR,55.45,overcast clouds,41.4325,27.0931,Babaeski Ogretmenevi
284,Guamuchil,MX,77.0,overcast clouds,25.4667,-108.1,Hotel Heredia
285,Kavaratti,IN,80.67,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
287,Quballat,TN,55.4,few clouds,36.5418,9.6633,Firma Ben Ammar
290,Zambezi,ZM,69.64,heavy intensity rain,-13.5432,23.1047,Royal Kutachika Lodge
291,Mount Isa,AU,77.0,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
294,Mineiros,BR,76.39,few clouds,-17.5694,-52.5511,Pilões Palace Hotel
297,Lompoc,US,64.0,clear sky,34.6391,-120.4579,Holiday Inn Express Lompoc
299,Isla Mujeres,MX,84.2,scattered clouds,21.2311,-86.73100000000001,Hotel La Joya Isla Mujeres
302,Flinders,AU,68.0,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
303,Bereda,ES,48.0,light rain,43.2686,-7.5406,Pazo de Verdes
305,Nara,JP,45.0,scattered clouds,34.6851,135.8049,Guesthouse Nara Komachi
306,Carutapera,BR,78.64,few clouds,-1.195,-46.02,Lidera
307,Launceston,AU,53.01,broken clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
310,General Roca,AR,71.6,overcast clouds,-39.0333,-67.5833,Hotel El Recreo
313,Nuqui,CO,83.57,light rain,5.7125,-77.2708,Hotel Nuquimar
314,Tual,ID,83.5,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
315,Kaya,BF,80.94,clear sky,13.0917,-1.0844,Maison de l'appelé
316,Louis Trichardt,ZA,70.16,overcast clouds,-23.0439,29.9032,139 on Munnik Guest House
319,Bac Lieu,VN,75.43,clear sky,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
324,Namibe,AO,73.02,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
325,Sadri,IN,59.76,clear sky,25.1833,73.4333,Chandra Hill Resort
326,Pedasi,PA,82.83,overcast clouds,7.5333,-80.0333,Selina Pedasi
327,Inhambane,MZ,78.94,overcast clouds,-23.865,35.3833,Oceano
328,Port Moresby,PG,77.0,broken clouds,-9.4431,147.1797,Lamana Hotel
330,Innisfail,AU,76.71,overcast clouds,-17.5333,146.0333,Moondarra Motel
331,Tabou,CI,79.47,broken clouds,4.423,-7.3528,hotêl doufoulougou
334,Dalbandin,PK,55.74,clear sky,28.8947,64.4101,Sanjrani House
336,Cabra,ES,48.0,overcast clouds,37.4725,-4.4421,MS Fuente Las Piedras
337,Alofi,NU,84.2,scattered clouds,-19.0595,-169.9187,Taloa Heights
339,Boulsa,BF,81.14,clear sky,12.6675,-0.5758,Boulsa tintin
340,Kulhudhuffushi,MV,81.1,overcast clouds,6.6221,73.07,Haajy Guest House 1
