City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
133,Lagoa,PT,2021-02-07 21:24:56,39.05,-27.9833,58.05,76,100,19.77,overcast clouds
134,Egvekinot,RU,2021-02-07 21:25:39,66.3167,-179.1667,-12.12,84,0,13.76,clear sky
135,Asau,RO,2021-02-07 21:25:40,46.4333,26.4,30.0,73,100,2.77,light snow
136,Tuatapere,NZ,2021-02-07 21:25:40,-46.1333,167.6833,61.84,66,100,6.58,moderate rain
137,Peoria,US,2021-02-07 21:25:24,40.7667,-89.7668,3.2,51,90,3.44,overcast clouds
138,Maceio,BR,2021-02-07 21:25:40,-9.6658,-35.7353,78.8,83,0,10.36,clear sky
139,Butaritari,KI,2021-02-07 21:25:41,3.0707,172.7902,81.28,80,96,19.91,overcast clouds
140,Sarkand,KZ,2021-02-07 21:25:41,45.41,79.9186,31.19,89,100,3.4,overcast clouds
141,Hoddesdon,GB,2021-02-07 21:25:41,51.7615,-0.0114,30.2,86,75,20.71,broken clouds
142,Acarau,BR,2021-02-07 21:25:42,-2.8856,-40.12,81.79,75,0,16.22,clear sky
143,Seoul,KR,2021-02-07 21:23:11,37.5683,126.9778,24.8,50,0,9.22,clear sky
144,Saint George,US,2021-02-07 21:24:53,37.1041,-113.5841,61.0,22,1,3.0,clear sky
145,Bathsheba,BB,2021-02-07 21:25:42,13.2167,-59.5167,80.6,61,20,19.57,few clouds
146,Bredasdorp,ZA,2021-02-07 21:24:47,-34.5322,20.0403,64.4,68,5,5.75,clear sky
147,Narsaq,GL,2021-02-07 21:25:43,60.9167,-46.05,35.6,30,53,44.87,broken clouds
148,Adrar,MR,2021-02-07 21:25:43,20.5022,-10.0711,60.42,32,0,9.48,clear sky
149,Naze,JP,2021-02-07 21:25:43,28.3667,129.4833,57.6,66,0,9.71,clear sky
150,Berezyne,UA,2021-02-07 21:25:44,46.2294,29.2022,34.47,89,100,14.7,overcast clouds
151,Muriwai Beach,NZ,2021-02-07 21:25:44,-36.8167,174.45,71.01,73,47,8.01,scattered clouds
152,Whitehorse,CA,2021-02-07 21:25:44,60.7161,-135.0538,-5.8,77,90,3.44,light snow
153,Ambilobe,MG,2021-02-07 21:25:44,-13.2,49.05,74.95,91,96,2.21,overcast clouds
154,Muroto,JP,2021-02-07 21:25:45,33.2833,134.15,39.2,87,40,5.75,scattered clouds
155,Hambantota,LK,2021-02-07 21:25:45,6.1241,81.1185,77.02,81,9,16.15,clear sky
156,Noumea,NC,2021-02-07 21:25:45,-22.2763,166.4572,79.0,83,0,2.3,clear sky
157,Yatou,CN,2021-02-07 21:25:46,37.15,122.3833,27.14,83,0,12.5,clear sky
158,Port Elizabeth,ZA,2021-02-07 21:22:44,-33.918,25.5701,66.2,94,90,11.5,overcast clouds
159,Mantua,IT,2021-02-07 21:25:46,45.1667,10.7833,48.99,95,50,3.0,scattered clouds
160,Bethel,US,2021-02-07 21:25:46,41.3712,-73.414,28.99,93,90,5.75,light snow
161,Longyearbyen,SJ,2021-02-07 21:25:32,78.2186,15.6401,14.0,67,75,16.11,snow
162,Grindavik,IS,2021-02-07 21:25:18,63.8424,-22.4338,33.8,64,0,13.8,clear sky
163,Meulaboh,ID,2021-02-07 21:25:47,4.1363,96.1285,76.69,87,47,4.36,light rain
164,Lloydminster,CA,2021-02-07 21:22:13,53.2835,-110.0016,-18.4,69,20,6.91,few clouds
165,Farap,TM,2021-02-07 21:25:48,39.1704,63.6116,44.6,93,31,4.61,scattered clouds
166,Kudahuvadhoo,MV,2021-02-07 21:25:48,2.6708,72.8944,81.19,71,42,16.78,scattered clouds
167,Kenai,US,2021-02-07 21:21:54,60.5544,-151.2583,10.99,78,1,6.91,clear sky
168,Champasak,LA,2021-02-07 21:25:49,14.75,106.0,68.99,78,52,2.33,broken clouds
169,Srednekolymsk,RU,2021-02-07 21:25:49,67.45,153.6833,-10.17,84,98,3.89,overcast clouds
170,New Norfolk,AU,2021-02-07 21:24:48,-42.7826,147.0587,57.0,67,33,1.99,scattered clouds
171,Kismayo,SO,2021-02-07 21:25:50,-0.3582,42.5454,77.22,81,0,17.22,clear sky
